GEO_ID,NAME,S1501_C01_001E,S1501_C01_002E
Geography,Geographic Area Name,Total estimates for age by educational attainment Population 18 to 24 years,Population 18 to 24 years Less than high school graduate
1400000US06007001601,Census Tract 16.01; Butte County; California,21,0
1400000US06007001602,Census Tract 16.02; Butte County; California,261,76
1400000US06007001702,Census Tract 17.02; Butte County; California,339,65
1400000US06007001703,Census Tract 17.03; Butte County; California,95,3
1400000US06007001704,Census Tract 17.04; Butte County; California,240,15
1400000US06007001800,Census Tract 18; Butte County; California,130,0
1400000US06007001900,Census Tract 19; Butte County; California,17,0
1400000US06007002000,Census Tract 20; Butte County; California,70,0
1400000US06007002100,Census Tract 21; Butte County; California,152,48
1400000US06007002200,Census Tract 22; Butte County; California,194,0
1400000US06007002300,Census Tract 23; Butte County; California,85,1
1400000US06007002401,Census Tract 24.01; Butte County; California,10,0
1400000US06007002402,Census Tract 24.02; Butte County; California,56,3
1400000US06007002500,Census Tract 25; Butte County; California,411,21
1400000US06007002601,Census Tract 26.01; Butte County; California,149,8
1400000US06007002602,Census Tract 26.02; Butte County; California,352,35
1400000US06007002700,Census Tract 27; Butte County; California,280,179
1400000US06007002800,Census Tract 28; Butte County; California,504,104
1400000US06007002900,Census Tract 29; Butte County; California,289,3
1400000US06007003001,Census Tract 30.01; Butte County; California,140,22
1400000US06007003002,Census Tract 30.02; Butte County; California,199,0
1400000US06007003100,Census Tract 31; Butte County; California,407,20
1400000US06007003200,Census Tract 32; Butte County; California,252,43
1400000US06007003300,Census Tract 33; Butte County; California,188,10
1400000US06007003400,Census Tract 34; Butte County; California,215,9
1400000US06007003501,Census Tract 35.01; Butte County; California,381,91
1400000US06007003502,Census Tract 35.02; Butte County; California,390,9
1400000US06007003600,Census Tract 36; Butte County; California,743,13
1400000US06007003700,Census Tract 37; Butte County; California,729,85
