GEO_ID,NAME,S1701_C01_001E
Geography,Geographic Area Name,Population for whom poverty status is determined
1400000US06009000504,Census Tract 5.04; Calaveras County; California,589
1400000US06009000505,Census Tract 5.05; Calaveras County; California,913
1400000US06009000506,Census Tract 5.06; Calaveras County; California,353
1400000US06011000100,Census Tract 1; Colusa County; California,5335
1400000US06011000200,Census Tract 2; Colusa County; California,5114
1400000US06011000301,Census Tract 3.01; Colusa County; California,4113
1400000US06011000302,Census Tract 3.02; Colusa County; California,2304
1400000US06011000400,Census Tract 4; Colusa County; California,2157
1400000US06011000500,Census Tract 5; Colusa County; California,2577
1400000US06013301000,Census Tract 3010; Contra Costa County; California,5329
