Geographic Area Name (NAME),"Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)",Latitude,Longitude
Census Tract 5011.02; Santa Clara County; California,"1,225,148",0,0.473,0,37.3540383,−121.8812234
Census Tract 5012; Santa Clara County; California,"831,245",0,0.321,0,37.3465601,−121.8787471
Census Tract 5013; Santa Clara County; California,"747,097",0,0.288,0,37.3387146,−121.8745424
Census Tract 5014.01; Santa Clara County; California,"998,598",0,0.386,0,37.3514873,−121.8697601
Census Tract 5014.02; Santa Clara County; California,"522,619",0,0.202,0,37.3453341,−121.8665169
Census Tract 5015.01; Santa Clara County; California,"623,555",0,0.241,0,37.3416169,−121.8583144
Census Tract 5015.02; Santa Clara County; California,"888,547",0,0.343,0,37.3374972,−121.8644026
Census Tract 5016.01; Santa Clara County; California,"781,837",0,0.302,0,37.333456,−121.8709378
Census Tract 5016.02; Santa Clara County; California,"436,247",0,0.168,0,37.3293246,−121.8781864
Census Tract 5017; Santa Clara County; California,"1,115,706",0,0.431,0,37.3231579,−121.8864264
Census Tract 5018; Santa Clara County; California,"1,428,662",0,0.552,0,37.3163695,−121.8965524
Census Tract 5019.01; Santa Clara County; California,"597,771",0,0.231,0,37.3236809,−121.9078195
Census Tract 5019.02; Santa Clara County; California,"1,064,609",0,0.411,0,37.3162127,−121.9087833
Census Tract 5020.01; Santa Clara County; California,"1,333,694",0,0.515,0,37.3224577,−121.9330738
Census Tract 5020.02; Santa Clara County; California,"900,022",0,0.348,0,37.319403,−121.9209269
Census Tract 5021.01; Santa Clara County; California,"1,914,543",0,0.739,0,37.3059451,−121.9360263
Census Tract 5021.03; Santa Clara County; California,"1,029,808",0,0.398,0,37.31332,−121.9236600
Census Tract 5021.04; Santa Clara County; California,"770,515",0,0.297,0,37.3061059,−121.9278721
Census Tract 5022.02; Santa Clara County; California,"1,115,394",0,0.431,0,37.2980468,−121.9205873
Census Tract 5022.03; Santa Clara County; California,"643,887",0,0.249,0,37.3063756,−121.9180681
Census Tract 5022.04; Santa Clara County; California,"331,145",0,0.128,0,37.3013832,−121.9258424
Census Tract 5023.01; Santa Clara County; California,"1,227,223",0,0.474,0,37.3010965,−121.9070616
Census Tract 5023.02; Santa Clara County; California,"674,195",0,0.26,0,37.3083189,−121.9083790
Census Tract 5024; Santa Clara County; California,"2,679,680",0,1.035,0,37.3046948,−121.8926106
Census Tract 5025; Santa Clara County; California,"2,496,645",0,0.964,0,37.2931927,−121.8928401
Census Tract 5026.01; Santa Clara County; California,"1,410,422",0,0.545,0,37.2902315,−121.9146920
Census Tract 5026.03; Santa Clara County; California,"1,220,490",0,0.471,0,37.2876026,−121.9272392
Census Tract 5026.04; Santa Clara County; California,"1,281,240",0,0.495,0,37.2838102,−121.9372335
Census Tract 5027.01; Santa Clara County; California,"1,729,302","15,380",0.668,0.006,37.2711908,−121.9382471
Census Tract 5027.03; Santa Clara County; California,"1,398,937",0,0.54,0,37.261793,−121.9455910
Census Tract 5027.04; Santa Clara County; California,"1,631,371",0,0.63,0,37.2550203,−121.9400151
Census Tract 5028; Santa Clara County; California,"1,756,146",0,0.678,0,37.255728,−121.9230305
Census Tract 5029.01; Santa Clara County; California,"1,882,495",0,0.727,0,37.2713891,−121.9270197
Census Tract 5029.02; Santa Clara County; California,"2,628,380",0,1.015,0,37.273586,−121.9156579
Census Tract 5029.03; Santa Clara County; California,"1,882,830",0,0.727,0,37.2779339,−121.9050522
Census Tract 5029.06; Santa Clara County; California,"1,544,298",0,0.596,0,37.2478128,−121.9014134
Census Tract 5029.07; Santa Clara County; California,"1,251,551",0,0.483,0,37.2633246,−121.8972821
Census Tract 5029.08; Santa Clara County; California,"2,079,484",0,0.803,0,37.2593227,−121.9087021
Census Tract 5029.09; Santa Clara County; California,"1,290,798",0,0.498,0,37.2565056,−121.8874578
Census Tract 5029.10; Santa Clara County; California,"1,186,791",0,0.458,0,37.2514817,−121.8840433
Census Tract 5030.01; Santa Clara County; California,"1,727,835",0,0.667,0,37.2840433,−121.8919507
Census Tract 5030.02; Santa Clara County; California,"1,353,951",0,0.523,0,37.276823,−121.8872996
Census Tract 5030.03; Santa Clara County; California,"1,938,825",0,0.749,0,37.2674809,−121.8850395
Census Tract 5031.05; Santa Clara County; California,"1,757,118",0,0.678,0,37.3261978,−121.8587581
Census Tract 5031.10; Santa Clara County; California,"765,474",0,0.296,0,37.3330764,−121.8498294
Census Tract 5031.11; Santa Clara County; California,"905,170",0,0.349,0,37.3225494,−121.8397890
Census Tract 5031.12; Santa Clara County; California,"1,136,977",0,0.439,0,37.3223269,−121.8710045
Census Tract 5031.13; Santa Clara County; California,"728,344",0,0.281,0,37.3156874,−121.8809726
Census Tract 5031.16; Santa Clara County; California,"1,141,518",0,0.441,0,37.2774484,−121.8537320
Census Tract 5031.17; Santa Clara County; California,"501,958",0,0.194,0,37.3274052,−121.8516044
Census Tract 5031.18; Santa Clara County; California,"566,063",0,0.219,0,37.3186929,−121.8429993
Census Tract 5031.21; Santa Clara County; California,"2,146,016",0,0.829,0,37.3061873,−121.8725034
Census Tract 5031.22; Santa Clara County; California,"3,644,757",0,1.407,0,37.3124908,−121.8569324
Census Tract 5031.23; Santa Clara County; California,"689,066",0,0.266,0,37.29773,−121.8778357
Census Tract 5031.24; Santa Clara County; California,"1,572,583",0,0.607,0,37.2836065,−121.8718216
Census Tract 5031.25; Santa Clara County; California,"742,589",0,0.287,0,37.2832604,−121.8775331
Census Tract 5031.26; Santa Clara County; California,"1,545,159",0,0.597,0,37.2953016,−121.8591564
Census Tract 5031.27; Santa Clara County; California,"2,926,721",0,1.13,0,37.2858514,−121.8568775
Census Tract 5032.07; Santa Clara County; California,"1,290,000",0,0.498,0,37.2944788,−121.8154729
Census Tract 5032.08; Santa Clara County; California,"1,106,314","18,008",0.427,0.007,37.2807411,−121.8160936
Census Tract 5032.10; Santa Clara County; California,"1,595,929",0,0.616,0,37.2904505,−121.8228620
Census Tract 5032.11; Santa Clara County; California,"1,058,985",0,0.409,0,37.3118086,−121.8324347
Census Tract 5032.12; Santa Clara County; California,"1,671,358",0,0.645,0,37.3046221,−121.8289144
Census Tract 5032.13; Santa Clara County; California,"1,099,444",0,0.424,0,37.3016723,−121.8373674
